place,movie_title,rating,year,star_cast
19,Siedem,8.604720837181858,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
20,To wspaniałe życie,8.597345972742863,1946,"Frank Capra (dir.), James Stewart, Donna Reed"
21,Siedmiu samurajów,8.59717566185122,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
22,Milczenie owiec,8.58830774139936,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
23,Szeregowiec Ryan,8.58021790277639,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
24,Miasto Boga,8.57923936191173,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
25,Interstellar,8.57576241610405,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
26,Życie jest piękne,8.568861162108716,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
27,Zielona mila,8.56443470371443,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
28,Gwiezdne wojny,8.546756538099055,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford"
29,Terminator 2: Dzień Sądu,8.538913553995213,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
30,Powrót do przyszłości,8.518194951224482,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
31,Spirited Away: W krainie bogów,8.51587656771349,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
32,Pianista,8.508307884806515,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
33,Psychoza,8.505741147438192,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
34,Parasite,8.50056794140799,2019,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun"
35,Leon zawodowiec,8.490431912375037,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman"
36,Gladiator,8.487816510451683,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
37,Król lew,8.487593541359306,1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
38,Więzień nienawiści,8.480674396579166,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
39,Infiltracja,8.476463634002199,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
40,Whiplash,8.470192116232099,2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
41,Prestiż,8.469309623518054,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
42,Podejrzani,8.467448000688801,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
43,Casablanca,8.460853760938935,1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
44,Grobowiec świetlików,8.457595839603865,1988,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi"
45,Harakiri,8.456344644005037,1962,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama"
46,Nietykalni,8.452545807101314,2011,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
47,Dzisiejsze czasy,8.445620303620624,1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
48,Pewnego razu na Dzikim Zachodzie,8.43904482734149,1968,"Sergio Leone (dir.), Henry Fonda, Charles Bronson"
49,Cinema Paradiso,8.436537879883163,1988,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale"
50,Okno na podwórze,8.435179732180432,1954,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly"
51,Obcy - 8 pasażer ''Nostromo'',8.43316604078684,1979,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt"
52,Światła wielkiego miasta,8.431312778249415,1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill"
53,Czas Apokalipsy,8.422056001052056,1979,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando"
